"alternate_names","authored_book_work_ids","canonical_name","contributed_work_ids","current_organization_reference","current_role","current_role_freshness_status","current_role_source","current_role_verified_at","disclosure","display_name","expertise_topics","external_identifiers","historical_roles","human_review_status","languages","machine_review_status","name_disambiguation_note","operating_markets","person_depth","person_id","professional_geographies","proposition_relationships","provenance","public_profile_eligibility","relationship_to_off","reviewed_at","reviewed_by","revision_history","role_at_source_time","source_ids","statement_ids","verification_status","workflow_status"
"[]","[""book-work-BATCH-2026-002-001""]","Eli Nesterov","[]","null","null","not_researched","null","null","Staging author identity candidate; named-human identity review pending.","Eli Nesterov","[""identity-and-access-management""]","{""official_profile_url"":null,""author_attribution_url"":""https://spiffe.io/book/""}","[]","approved","[]","ready_for_human_review","Verified only as the named author of the linked work; current role and broader identity profile were not inferred.","[]","identity_record","person-BATCH-2026-002-010","[]","[]","[{""source_url"":""https://spiffe.io/book/"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Official work page author attribution"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Author candidate 10 of 30; current role not researched.""}]","false","none_identified","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","[]","[]","[]","verified_as_named_author_on_official_work_source","published"
"[""Andres Vega""]","[""book-work-BATCH-2026-002-001""]","Andrés Vega","[]","null","null","not_researched","null","null","Staging author identity candidate; named-human identity review pending.","Andrés Vega","[""identity-and-access-management""]","{""official_profile_url"":null,""author_attribution_url"":""https://spiffe.io/book/""}","[]","approved","[]","ready_for_human_review","Verified only as the named author of the linked work; current role and broader identity profile were not inferred.","[]","identity_record","person-BATCH-2026-002-011","[]","[]","[{""source_url"":""https://spiffe.io/book/"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Official work page author attribution"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Author candidate 11 of 30; current role not researched.""}]","false","none_identified","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","[]","[]","[]","verified_as_named_author_on_official_work_source","published"
"[]","[""book-work-BATCH-2026-002-001""]","Michael Wardrop","[]","null","null","not_researched","null","null","Staging author identity candidate; named-human identity review pending.","Michael Wardrop","[""identity-and-access-management""]","{""official_profile_url"":null,""author_attribution_url"":""https://spiffe.io/book/""}","[]","approved","[]","ready_for_human_review","Verified only as the named author of the linked work; current role and broader identity profile were not inferred.","[]","identity_record","person-BATCH-2026-002-012","[]","[]","[{""source_url"":""https://spiffe.io/book/"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Official work page author attribution"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Author candidate 12 of 30; current role not researched.""}]","false","none_identified","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","[]","[]","[]","verified_as_named_author_on_official_work_source","published"
"[]","[""book-work-BATCH-2026-002-002""]","Razi Rais","[]","null","null","not_researched","null","null","Staging author identity candidate; named-human identity review pending.","Razi Rais","[""identity-and-access-management""]","{""official_profile_url"":null,""author_attribution_url"":""https://www.oreilly.com/library/view/zero-trust-networks/9781492096580/titlepage01.html""}","[]","approved","[]","ready_for_human_review","Verified only as the named author of the linked work; current role and broader identity profile were not inferred.","[]","identity_record","person-BATCH-2026-002-013","[]","[]","[{""source_url"":""https://www.oreilly.com/library/view/zero-trust-networks/9781492096580/titlepage01.html"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Official work page author attribution"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Author candidate 13 of 30; current role not researched.""}]","false","none_identified","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","[]","[]","[]","verified_as_named_author_on_official_work_source","published"
"[]","[""book-work-BATCH-2026-002-002""]","Christina Morillo","[]","null","null","not_researched","null","null","Staging author identity candidate; named-human identity review pending.","Christina Morillo","[""identity-and-access-management""]","{""official_profile_url"":null,""author_attribution_url"":""https://www.oreilly.com/library/view/zero-trust-networks/9781492096580/titlepage01.html""}","[]","approved","[]","ready_for_human_review","Verified only as the named author of the linked work; current role and broader identity profile were not inferred.","[]","identity_record","person-BATCH-2026-002-014","[]","[]","[{""source_url"":""https://www.oreilly.com/library/view/zero-trust-networks/9781492096580/titlepage01.html"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Official work page author attribution"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Author candidate 14 of 30; current role not researched.""}]","false","none_identified","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","[]","[]","[]","verified_as_named_author_on_official_work_source","published"
"[]","[""book-work-BATCH-2026-002-002""]","Doug Barth","[]","null","null","not_researched","null","null","Staging author identity candidate; named-human identity review pending.","Doug Barth","[""identity-and-access-management""]","{""official_profile_url"":null,""author_attribution_url"":""https://www.oreilly.com/library/view/zero-trust-networks/9781492096580/titlepage01.html""}","[]","approved","[]","ready_for_human_review","Verified only as the named author of the linked work; current role and broader identity profile were not inferred.","[]","identity_record","person-BATCH-2026-002-015","[]","[]","[{""source_url"":""https://www.oreilly.com/library/view/zero-trust-networks/9781492096580/titlepage01.html"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Official work page author attribution"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Author candidate 15 of 30; current role not researched.""}]","false","none_identified","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","[]","[]","[]","verified_as_named_author_on_official_work_source","published"
"[]","[""book-work-BATCH-2026-002-003""]","Justin Richer","[]","null","null","not_researched","null","null","Staging author identity candidate; named-human identity review pending.","Justin Richer","[""identity-and-access-management""]","{""official_profile_url"":null,""author_attribution_url"":""https://www.manning.com/books/oauth-2-in-action""}","[]","approved","[]","ready_for_human_review","Verified only as the named author of the linked work; current role and broader identity profile were not inferred.","[]","identity_record","person-BATCH-2026-002-016","[]","[]","[{""source_url"":""https://www.manning.com/books/oauth-2-in-action"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Official work page author attribution"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Author candidate 16 of 30; current role not researched.""}]","false","none_identified","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","[]","[]","[]","verified_as_named_author_on_official_work_source","published"
"[]","[""book-work-BATCH-2026-002-003""]","Antonio Sanso","[]","null","null","not_researched","null","null","Staging author identity candidate; named-human identity review pending.","Antonio Sanso","[""identity-and-access-management""]","{""official_profile_url"":null,""author_attribution_url"":""https://www.manning.com/books/oauth-2-in-action""}","[]","approved","[]","ready_for_human_review","Verified only as the named author of the linked work; current role and broader identity profile were not inferred.","[]","identity_record","person-BATCH-2026-002-017","[]","[]","[{""source_url"":""https://www.manning.com/books/oauth-2-in-action"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Official work page author attribution"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Author candidate 17 of 30; current role not researched.""}]","false","none_identified","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","[]","[]","[]","verified_as_named_author_on_official_work_source","published"
"[]","[""book-work-BATCH-2026-002-004""]","Neil Madden","[]","null","null","not_researched","null","null","Staging author identity candidate; named-human identity review pending.","Neil Madden","[""identity-and-access-management""]","{""official_profile_url"":null,""author_attribution_url"":""https://www.manning.com/books/api-security-in-action""}","[]","approved","[]","ready_for_human_review","Verified only as the named author of the linked work; current role and broader identity profile were not inferred.","[]","identity_record","person-BATCH-2026-002-018","[]","[]","[{""source_url"":""https://www.manning.com/books/api-security-in-action"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Official work page author attribution"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Author candidate 18 of 30; current role not researched.""}]","false","none_identified","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","[]","[]","[]","verified_as_named_author_on_official_work_source","published"
"[]","[""book-work-BATCH-2026-002-005""]","Heather Adkins","[]","null","null","not_researched","null","null","Staging author identity candidate; named-human identity review pending.","Heather Adkins","[""identity-and-access-management""]","{""official_profile_url"":null,""author_attribution_url"":""https://www.oreilly.com/library/view/building-secure-and/9781492083115/""}","[]","approved","[]","ready_for_human_review","Verified only as the named author of the linked work; current role and broader identity profile were not inferred.","[]","identity_record","person-BATCH-2026-002-019","[]","[]","[{""source_url"":""https://www.oreilly.com/library/view/building-secure-and/9781492083115/"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Official work page author attribution"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Author candidate 19 of 30; current role not researched.""}]","false","none_identified","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","[]","[]","[]","verified_as_named_author_on_official_work_source","published"
"[]","[""book-work-BATCH-2026-002-005""]","Betsy Beyer","[]","null","null","not_researched","null","null","Staging author identity candidate; named-human identity review pending.","Betsy Beyer","[""identity-and-access-management""]","{""official_profile_url"":null,""author_attribution_url"":""https://www.oreilly.com/library/view/building-secure-and/9781492083115/""}","[]","approved","[]","ready_for_human_review","Verified only as the named author of the linked work; current role and broader identity profile were not inferred.","[]","identity_record","person-BATCH-2026-002-020","[]","[]","[{""source_url"":""https://www.oreilly.com/library/view/building-secure-and/9781492083115/"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Official work page author attribution"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Author candidate 20 of 30; current role not researched.""}]","false","none_identified","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","[]","[]","[]","verified_as_named_author_on_official_work_source","published"
"[]","[""book-work-BATCH-2026-002-005""]","Paul Blankinship","[]","null","null","not_researched","null","null","Staging author identity candidate; named-human identity review pending.","Paul Blankinship","[""identity-and-access-management""]","{""official_profile_url"":null,""author_attribution_url"":""https://www.oreilly.com/library/view/building-secure-and/9781492083115/""}","[]","approved","[]","ready_for_human_review","Verified only as the named author of the linked work; current role and broader identity profile were not inferred.","[]","identity_record","person-BATCH-2026-002-021","[]","[]","[{""source_url"":""https://www.oreilly.com/library/view/building-secure-and/9781492083115/"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Official work page author attribution"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Author candidate 21 of 30; current role not researched.""}]","false","none_identified","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","[]","[]","[]","verified_as_named_author_on_official_work_source","published"
