statement_id,source_id,exact_locator,locator_type,source_version,locator_reproduced,visual_pdf_check,duration_check,book_edition_check,report_version_check,unresolved_locator,human_review_status
statement-BATCH-2026-006-011,source-BATCH-2026-005-003,"Revision 02 HTML, Section 6 ""Agent Credentials"", paragraphs 1-3",html_section,draft-klrc-aiagent-auth-02; expires 2026-12-03,pass,not applicable; HTML section checked,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-012,source-BATCH-2026-005-003,"Revision 02 HTML, Section 4 ""Agent Identity Management System"", Figure 2 and component definitions",html_section,draft-klrc-aiagent-auth-02; expires 2026-12-03,pass,not applicable; HTML section checked,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-013,source-BATCH-2026-005-003,"Revision 02 HTML, Section 3 ""Agents are workloads"", paragraph after Figure 1",html_section,draft-klrc-aiagent-auth-02; expires 2026-12-03,pass,not applicable; HTML section checked,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-014,source-BATCH-2026-005-003,"Revision 02 HTML, Section 13 ""Security Considerations"", opening paragraph",html_section,draft-klrc-aiagent-auth-02; expires 2026-12-03,pass,not applicable; HTML section checked,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-015,source-BATCH-2026-005-004,"PDF file p. 3 (document p. 2), Executive Summary, ""User impersonation by agents"", October 2025 version",pdf_page,"OpenID Foundation official PDF, October 2025",pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-016,source-BATCH-2026-005-004,"PDF file p. 19 (document p. 18), Section 3.2 ""From Impersonation to Delegation (On-Behalf-Of)"", October 2025 version",pdf_page,"OpenID Foundation official PDF, October 2025",pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-017,source-BATCH-2026-005-004,"PDF file p. 17 (document p. 16), ""Best Practices"", October 2025 version",pdf_page,"OpenID Foundation official PDF, October 2025",pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-018,source-BATCH-2026-005-004,"PDF file p. 15 (document p. 14), end of Section 2.11, October 2025 version",pdf_page,"OpenID Foundation official PDF, October 2025",pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-019,source-BATCH-2026-005-004,"PDF file p. 17 (document p. 16), ""Best Practices"", bullet ""Automate agent lifecycle management"", October 2025 version",pdf_page,"OpenID Foundation official PDF, October 2025",pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-020,source-BATCH-2026-005-004,"PDF file p. 27 (document p. 26), Section 4.4 ""Recursive Delegation in Dynamic Agent Networks"", October 2025 version",pdf_page,"OpenID Foundation official PDF, October 2025",pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-021,source-BATCH-2026-005-004,"PDF file p. 21 (document p. 20), Section 3.4 ""Scalable Human Governance and Consent"", opening paragraph, October 2025 version",pdf_page,"OpenID Foundation official PDF, October 2025",pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-022,source-BATCH-2026-005-006,"arXiv:2406.13352v3 PDF p. 6, Section 3.4 ""Reporting AgentDojo Results""",pdf_page,arXiv:2406.13352v3; NeurIPS 2024 version,pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-023,source-BATCH-2026-005-006,"arXiv:2406.13352v3 PDF pp. 1 and 6, Abstract and Table 1",pdf_page,arXiv:2406.13352v3; NeurIPS 2024 version,pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-024,source-BATCH-2026-005-006,"arXiv:2406.13352v3 PDF p. 20, Table 3, ""Benign utility"" column",pdf_page,arXiv:2406.13352v3; NeurIPS 2024 version,pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-025,source-BATCH-2026-005-006,"arXiv:2406.13352v3 PDF p. 20, Table 5, ""Targeted ASR"" row",pdf_page,arXiv:2406.13352v3; NeurIPS 2024 version,pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-026,source-BATCH-2026-005-006,"arXiv:2406.13352v3 PDF p. 9, Figure 9b and caption",pdf_page,arXiv:2406.13352v3; NeurIPS 2024 version,pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-027,source-BATCH-2026-005-006,"arXiv:2406.13352v3 PDF p. 22, Appendix E.1-E.3",pdf_page,arXiv:2406.13352v3; NeurIPS 2024 version,pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-028,source-BATCH-2026-005-007,"arXiv:2410.02644v4 PDF pp. 1-2 and p. 8, Abstract, Introduction, and Table 3",pdf_page,arXiv:2410.02644v4; ICLR 2025 paper,pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-029,source-BATCH-2026-005-007,"arXiv:2410.02644v4 PDF p. 9, Table 5, ""Average"" row and Section 5.3",pdf_page,arXiv:2410.02644v4; ICLR 2025 paper,pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-030,source-BATCH-2026-005-007,"arXiv:2410.02644v4 PDF pp. 1-2, Abstract, Figure 1, and Introduction",pdf_page,arXiv:2410.02644v4; ICLR 2025 paper,pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-031,source-BATCH-2026-005-007,"arXiv:2410.02644v4 PDF p. 8, Table 4, NRP row",pdf_page,arXiv:2410.02644v4; ICLR 2025 paper,pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-032,source-BATCH-2026-005-007,"arXiv:2410.02644v4 PDF p. 9, Section 5.3, discussion following Figure 2",pdf_page,arXiv:2410.02644v4; ICLR 2025 paper,pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-033,source-BATCH-2026-005-008,"arXiv:2406.01637v2 PDF p. 4, Section 4 and Tables 1-2",pdf_page,arXiv:2406.01637v2,pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-034,source-BATCH-2026-005-008,"arXiv:2406.01637v2 PDF p. 5, Figure 2 and Section 5.2",pdf_page,arXiv:2406.01637v2,pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-035,source-BATCH-2026-005-008,"arXiv:2406.01637v2 PDF pp. 1 and 5, Abstract and Figures 2-3",pdf_page,arXiv:2406.01637v2,pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-036,source-BATCH-2026-005-008,"arXiv:2406.01637v2 PDF p. 6, Section 5.3 and Figure 4",pdf_page,arXiv:2406.01637v2,pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-037,source-BATCH-2026-005-008,"arXiv:2406.01637v2 PDF pp. 1 and 5, Abstract and Section 5.2",pdf_page,arXiv:2406.01637v2,pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-038,source-BATCH-2026-005-008,"arXiv:2406.01637v2 PDF pp. 8-9, Section 10 ""Limitations, Ethical Considerations""",pdf_page,arXiv:2406.01637v2,pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-039,source-BATCH-2026-005-009,"Official PDF p. 4, Section 2.1 ""Agenticness, Agentic AI Systems, and Agents"", 2023 version",pdf_page,"official OpenAI PDF, 2023; metadata created 2023-12-18",pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-040,source-BATCH-2026-005-009,"Official PDF pp. 5-6, Section 2.2 ""The Human Parties in the AI Agent Life-cycle"", 2023 version",pdf_page,"official OpenAI PDF, 2023; metadata created 2023-12-18",pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-041,source-BATCH-2026-005-009,"Official PDF p. 3, Section 1 ""Introduction"", 2023 version",pdf_page,"official OpenAI PDF, 2023; metadata created 2023-12-18",pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-042,source-BATCH-2026-005-009,"Official PDF pp. 8-9, Section 4.1 ""Evaluating Suitability for the Task"", 2023 version",pdf_page,"official OpenAI PDF, 2023; metadata created 2023-12-18",pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-043,source-BATCH-2026-005-009,"Official PDF pp. 9-10, Section 4.2 ""Constraining the Action-Space and Requiring Approval"", 2023 version",pdf_page,"official OpenAI PDF, 2023; metadata created 2023-12-18",pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-044,source-BATCH-2026-005-009,"Official PDF pp. 12-13, Section 4.5 ""Automatic Monitoring"", 2023 version",pdf_page,"official OpenAI PDF, 2023; metadata created 2023-12-18",pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-045,source-BATCH-2026-005-009,"Official PDF pp. 13-14, Section 4.6 ""Attributability"", 2023 version",pdf_page,"official OpenAI PDF, 2023; metadata created 2023-12-18",pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-046,source-BATCH-2026-005-009,"Official PDF pp. 14-15, Section 4.7 ""Interruptibility and Maintaining Control"", 2023 version",pdf_page,"official OpenAI PDF, 2023; metadata created 2023-12-18",pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
