statement_id,source_id,locator,locator_type,source_version,visual_pdf_check,result,human_review_status
statement-BATCH-2026-005-011,source-BATCH-2026-005-005,"arXiv:2510.25819v1 PDF file p. 27 (document p. 26), Section 4.4",pdf_page,"arXiv:2510.25819v1 PDF file p. 27 (document p. 26), Section 4.4","completed for relevant page; table/figure labels, axes, footnotes, and page number checked where applicable",pass,pending
statement-BATCH-2026-005-012,source-BATCH-2026-005-006,"arXiv:2406.13352v3 PDF p. 1, Abstract; environment counts visually checked in Table 1 on PDF p. 6",pdf_page,"arXiv:2406.13352v3 PDF p. 1, Abstract; environment counts visually checked in Table 1 on PDF p. 6","completed for relevant page; table/figure labels, axes, footnotes, and page number checked where applicable",pass,pending
statement-BATCH-2026-005-013,source-BATCH-2026-005-006,"arXiv:2406.13352v3 PDF p. 20, Table 5",pdf_page,"arXiv:2406.13352v3 PDF p. 20, Table 5","completed for relevant page; table/figure labels, axes, footnotes, and page number checked where applicable",pass,pending
statement-BATCH-2026-005-014,source-BATCH-2026-005-006,"arXiv:2406.13352v3 PDF pp. 21-23, Appendix E 'Dataset-related supplementary material'",pdf_page,"arXiv:2406.13352v3 PDF pp. 21-23, Appendix E 'Dataset-related supplementary material'","completed for relevant page; table/figure labels, axes, footnotes, and page number checked where applicable",pass,pending
statement-BATCH-2026-005-015,source-BATCH-2026-005-007,"arXiv:2410.02644v4 PDF pp. 1-2, Abstract and Introduction; Table 3 on PDF p. 8 visually checked",pdf_page,"arXiv:2410.02644v4 PDF pp. 1-2, Abstract and Introduction; Table 3 on PDF p. 8 visually checked","completed for relevant page; table/figure labels, axes, footnotes, and page number checked where applicable",pass,pending
statement-BATCH-2026-005-016,source-BATCH-2026-005-007,"arXiv:2410.02644v4 PDF p. 1, Abstract",pdf_page,"arXiv:2410.02644v4 PDF p. 1, Abstract","completed for relevant page; table/figure labels, axes, footnotes, and page number checked where applicable",pass,pending
statement-BATCH-2026-005-017,source-BATCH-2026-005-008,"arXiv:2406.01637v2 PDF p. 4, Section 4 and Tables 1-2",pdf_page,"arXiv:2406.01637v2 PDF p. 4, Section 4 and Tables 1-2","completed for relevant page; table/figure labels, axes, footnotes, and page number checked where applicable",pass,pending
statement-BATCH-2026-005-018,source-BATCH-2026-005-008,"arXiv:2406.01637v2 PDF p. 5, Figure 2 and Section 5.2",pdf_page,"arXiv:2406.01637v2 PDF p. 5, Figure 2 and Section 5.2","completed for relevant page; table/figure labels, axes, footnotes, and page number checked where applicable",pass,pending
statement-BATCH-2026-005-019,source-BATCH-2026-005-008,"arXiv:2406.01637v2 PDF pp. 8-9, Section 10 'Limitations, Ethical Considerations'",pdf_page,"arXiv:2406.01637v2 PDF pp. 8-9, Section 10 'Limitations, Ethical Considerations'","completed for relevant page; table/figure labels, axes, footnotes, and page number checked where applicable",pass,pending
statement-BATCH-2026-005-020,source-BATCH-2026-005-009,"Official PDF p. 3, Section 1 'Introduction', 2023 version",pdf_page,"Official PDF p. 3, Section 1 'Introduction', 2023 version","completed for relevant page; table/figure labels, axes, footnotes, and page number checked where applicable",pass,pending
statement-BATCH-2026-005-021,source-BATCH-2026-005-009,"Official PDF pp. 13-14, Section 4.6 'Attributability', 2023 version",pdf_page,"Official PDF pp. 13-14, Section 4.6 'Attributability', 2023 version","completed for relevant page; table/figure labels, axes, footnotes, and page number checked where applicable",pass,pending
statement-BATCH-2026-005-022,source-BATCH-2026-005-009,"Official PDF pp. 14-15, Section 4.7 'Interruptibility and Maintaining Control', 2023 version",pdf_page,"Official PDF pp. 14-15, Section 4.7 'Interruptibility and Maintaining Control', 2023 version","completed for relevant page; table/figure labels, axes, footnotes, and page number checked where applicable",pass,pending
