candidate_id,canonical_url,publisher,source_identity_status,intellectual_work_status,decision,human_review_status,review_note
candidate-BATCH-2026-011-012,https://www.agid.gov.it/it/notizie/pubblicato-il-documento-completo-della-strategia-italiana-per-lintelligenza-artificiale-2024-2026,Agenzia per l’Italia Digitale,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,"Locally grounded national strategy, useful for country context but not direct evidence on agent identity."
candidate-BATCH-2026-011-013,https://digst.dk/tilsyn/ai-forordningen/reglerne-i-ai-forordningen/,Agency for Digital Government,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,Local regulator explanation of AI Act duties; agent applicability requires further verification.
candidate-BATCH-2026-011-014,https://www.autoriteitpersoonsgegevens.nl/en/system/files?file=2025-09%2FReport+AI+%26+Algorithms+Netherlands+-+fifth+edition+RAN+July+2025.pdf,Dutch Data Protection Authority,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,"Strong local market and regulator context, but agent identity is not yet verified as a material topic."
candidate-BATCH-2026-011-015,https://www.bsi.bund.de/SharedDocs/Downloads/DE/BSI/KI/Whitepaper-Transparenz-KI-Systeme.pdf?__blob=publicationFile&v=3,German Federal Office for Information Security,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,Authoritative German AI-security context; section-level agent relevance remains unverified.
candidate-BATCH-2026-011-016,https://revista.aepd.es/revistaprivacidad/article/view/10,"AEPD Journal of Privacy, Innovation and Technology",official_publisher_page_machine_checked_human_review_pending,candidate_work,accept,pending,"Locally authored direct treatment of delegation, permission architecture, audit, and organizational capability."
candidate-BATCH-2026-011-017,https://cnil.fr/fr/definition/ia-agentique,CNIL,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,"Direct official definition, but too thin to stand alone as substantive evidence."
candidate-BATCH-2026-011-018,https://www.csa.gov.sg/resources/publications/securing-agentic-ai-a-discussion-paper/,Cyber Security Agency of Singapore and FAR.AI,official_publisher_page_machine_checked_human_review_pending,candidate_work,accept,pending,"Direct local government security analysis of agentic systems, ecosystem responsibility, and open controls."
candidate-BATCH-2026-011-019,https://www.csa.gov.sg/news-events/press-releases/csa-releases-an-addendum-to-support-system-owners-in-securing-agentic-ai-system/,Cyber Security Agency of Singapore,official_publisher_page_machine_checked_human_review_pending,candidate_work,accept,pending,"Direct official agentic-AI security guidance for system owners, including capability and workflow risk assessment."
candidate-BATCH-2026-011-020,https://www.mddi.gov.sg/newsroom/mddi-s-response-to-pq-on-ensuring-meaningful-human-accountability-for-public-facing-autonomous-ai-agents-and-pathways-to-mandatory-governance-in-high-risk-sectors/,Singapore Ministry of Digital Development and Information,official_publisher_page_machine_checked_human_review_pending,candidate_work,accept,pending,"Parliamentary answer directly addresses accountability, disclosure, human checkpoints, and regulatory triggers."
candidate-BATCH-2026-011-021,https://www.ipa.go.jp/jinzai/mitou/advanced/2026first/gaiyou-sd-1.html,"Information-technology Promotion Agency, Japan",official_publisher_page_machine_checked_human_review_pending,candidate_work,accept,pending,Direct public research project on distinguishing human actions from delegated AI-agent actions and accountable anonymity.
candidate-BATCH-2026-011-022,https://www.meti.go.jp/press/2026/04/20260403003/20260403003-b.pdf,"Ministry of Economy, Trade and Industry, Japan",official_publisher_page_machine_checked_human_review_pending,candidate_work,accept,pending,"Government work programme explicitly covers governance, data protection, and identity management for enterprise agent adoption."
candidate-BATCH-2026-011-023,https://www.meti.go.jp/shingikai/mono_info_service/ai_shakai_jisso/pdf/20250328_6.pdf,"Ministry of Economy, Trade and Industry and Ministry of Internal Affairs and Communications, Japan",official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,National business guidance recognizes emerging agent risks; direct identity content requires deeper review.
candidate-BATCH-2026-011-024,https://www.ipa.go.jp/digital/ai/security/ai-security-bulletin.html,"Information-technology Promotion Agency, Japan",official_publisher_page_machine_checked_human_review_pending,candidate_work,accept,pending,Ongoing national bulletin includes agent vulnerabilities and operational incidents; individual issues require separate identity records.
candidate-BATCH-2026-011-025,https://www.ipa.go.jp/pressrelease/2024/press20240918-2.html,AI Safety Institute Japan / IPA,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,Credible local evaluation framework; agent-identity application remains unverified.
candidate-BATCH-2026-011-026,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?bcIdx=29495&cbIdx=78336&parentSeq=29495,National Information Society Agency,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,"Direct government programme notice, but the underlying evaluation framework is not yet available for analysis."
candidate-BATCH-2026-011-027,https://www.pcpd.org.hk/english/news_events/media_statements/press_20260519.html,"Office of the Privacy Commissioner for Personal Data, Hong Kong",official_publisher_page_machine_checked_human_review_pending,candidate_work,accept,pending,Local organization sample and regulator recommendations directly include prudent agentic-AI use and minimum access rights.
candidate-BATCH-2026-011-028,https://www.pcpd.org.hk/english/news_events/media_statements/press_20240611.html,"Office of the Privacy Commissioner for Personal Data, Hong Kong",official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,Locally grounded governance framework with C-level and board relevance; predates current agent-specific guidance.
candidate-BATCH-2026-011-029,https://www.cac.gov.cn/2025-09/15/c_1759653448369123.htm?type=h5,National Computer Network Emergency Response Technical Team / Cyberspace Administration of China,official_publisher_page_machine_checked_human_review_pending,candidate_work,accept,pending,National framework explicitly updates governance for high-autonomy applications and runtime decision checks.
candidate-BATCH-2026-011-030,https://law.nstc.gov.tw/LawContent.aspx?id=GL000592&kw=D+%25u5c08&media=print,National Science and Technology Council,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,Primary national law defines autonomous systems and governance principles; agent-identity specificity requires legal review.
candidate-BATCH-2026-011-031,https://www.pcpd.org.hk/english/news_events/media_statements/press_20240221.html,"Office of the Privacy Commissioner for Personal Data, Hong Kong",official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,Provides a local cross-sector baseline; not agent-specific and overlaps later 60-organization check.
candidate-BATCH-2026-011-032,https://www.etda.or.th/getattachment/Our-Service/AIGC/Research-and-Recommendation/Thailand%E2%80%99s-AI-Governance-Guideline-for-Executive_2023.pdf.aspx?lang=th-TH,Electronic Transactions Development Agency,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,Local executive governance guidance; agent-specific provisions have not been verified.
candidate-BATCH-2026-011-033,https://www.etda.or.th/getattachment/6050a4b7-defd-4dba-8cbc-ff6a444a3d08/20240910_GenerativeAIGovernanceGuideline_Vol1_AIGC.pdf.aspx,Electronic Transactions Development Agency,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,Locally grounded organizational guidance; agent identity is not directly established.
candidate-BATCH-2026-011-034,https://jdih.komdigi.go.id/berita/view/116,Ministry of Communication and Digital Affairs,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,Primary account of emerging national rules; draft text and agent relevance require follow-up.
candidate-BATCH-2026-011-035,https://www.digital.govt.nz/assets/Standards-guidance/Technology-and-architecture/AI/Responsible-AI-Guidance-for-the-Public-Service-GenAI-Print.pdf,New Zealand Government Chief Digital Officer,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,Strong locally grounded public-service governance; agent identity is not yet a verified focus.
candidate-BATCH-2026-011-036,https://www.digital.gov.au/policy/ai/agentic-ai-addendum-statements-whole-ai-lifecycle,Australian Digital Transformation Agency,official_publisher_page_machine_checked_human_review_pending,candidate_work,accept,pending,"Direct whole-lifecycle standard covering named accountability, agent responsibilities, audit trails, access, and decommissioning."
candidate-BATCH-2026-011-037,https://www.digital.gov.au/policy/ai/agentic-ai-addendum-introduction,Australian Digital Transformation Agency,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,"Direct explanatory component, but part of the same intellectual work as the lifecycle standard."
candidate-BATCH-2026-011-038,https://www.dta.gov.au/articles/trustworthy-ai-agents-new-technical-guidance,Australian Digital Transformation Agency,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,Official announcement of the addendum; duplicate evidence contribution unless it adds implementation detail.
candidate-BATCH-2026-011-039,https://www.gov.br/abin/pt-br/centrais-de-conteudo/publicacoes/o-novo-sisbin/sem-logo-de-gov_abin_desafios_2026.pdf,Brazilian Intelligence Agency,official_publisher_page_machine_checked_human_review_pending,candidate_work,accept,pending,"Direct Brazilian national-security analysis of autonomous agents, attribution, critical infrastructure, and cyber risk."
candidate-BATCH-2026-011-040,https://www.gov.br/gestao/pt-br/assuntos/noticias/2025/dezembro/pl-do-governo-propoe-sistema-de-governanca-para-a-inteligencia-artificial-no-pais,Ministry of Management and Innovation in Public Services,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,Primary national governance proposal; direct application to agents is unverified.
candidate-BATCH-2026-011-041,https://www.gov.br/governodigital/pt-br/infraestrutura-nacional-de-dados/inteligencia-artificial-1/publicacoes/guia-ia-generativa,Brazilian Digital Government Secretariat,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,Local public-sector security and accountability guidance; agent identity is not a verified focus.
candidate-BATCH-2026-011-042,https://www.gov.br/governodigital/pt-br/infraestrutura-nacional-de-dados/inteligencia-artificial-1/publicacoes/matriz-raci,Brazilian Digital Government Secretariat,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,Useful local ownership and accountability artifact; agent-specific applicability requires review.
candidate-BATCH-2026-011-043,https://www.minciencia.gob.cl/areas/inteligencia-artificial/Inteligencia-Artificial/politica-Nacional-Inteligencia-Artificial-Plan-Accion/,"Ministry of Science, Technology, Knowledge and Innovation",official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,Locally grounded national policy with governance and ethics; agent identity not established.
candidate-BATCH-2026-011-044,https://www.dnp.gov.co/Prensa_/Noticias/Paginas/nuevo-logro-para-el-pais-con-aprobacion-politica-nacional-inteligencia-artificial-ia.aspx,National Planning Department,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,Primary locally grounded policy with territorial and sector context; agent-specific evidence requires follow-up.
candidate-BATCH-2026-011-045,https://www.gob.mx/atdt/comunicacion/declaracion-de-etica-y-buenas-practicas-para-el-uso-y-desarrollo-de-la-ia-en-mexico-secihti-y-atdt,Agency for Digital Transformation and Telecommunications / SECIHTI,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,Local accountability principles and cultural/linguistic commitments; agent relevance is adjacent.
candidate-BATCH-2026-011-046,https://www.gub.uy/agencia-gobierno-electronico-sociedad-informacion-conocimiento/comunicacion/publicaciones/estrategia-nacional-inteligencia-artificial-del-uruguay-2024-2030/ejes,AGESIC,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,"Locally grounded risk, regulation, and institutional design; agent identity is not a verified subject."
candidate-BATCH-2026-011-047,https://www.tbs-sct.canada.ca/pol/doc-eng.aspx?id=32592,Treasury Board of Canada Secretariat,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,Strong accountable-automation baseline; must not be treated as agent-specific without review.
candidate-BATCH-2026-011-048,https://www.canada.ca/en/government/system/digital-government/digital-government-innovations/responsible-use-ai/algorithmic-impact-assessment.html,Government of Canada,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,Primary public-sector assessment instrument; applicability to autonomous agents needs explicit testing.
candidate-BATCH-2026-011-049,https://www.au.int/en/documents/20240809/continental-artificial-intelligence-strategy,African Union,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,Africa-grounded continental strategy with multilingual official editions; no direct agent-identity treatment verified.
candidate-BATCH-2026-011-050,https://www.minict.gov.rw/ai-policy,Ministry of ICT and Innovation,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,Locally grounded national policy with responsible and inclusive adoption; agent-specific relevance is unverified.
candidate-BATCH-2026-011-051,https://www.ict.go.ke/node/641,"Ministry of Information, Communications and the Digital Economy",official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,Locally grounded national strategy with data governance and language priorities; agent identity is adjacent.
candidate-BATCH-2026-011-052,https://ncair.nitda.gov.ng/wp-content/uploads/2025/09/National-Artificial-Intelligence-Strategy-19092025.pdf,National Centre for Artificial Intelligence and Robotics / NITDA,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,Locally grounded national strategy and multilingual model agenda; agent-specific evidence requires review.
candidate-BATCH-2026-011-053,https://www.gov.za/sites/default/files/gcis_document/202604/54477gen3880.pdf,Department of Communications and Digital Technologies,official_publisher_page_machine_checked_human_review_pending,candidate_work,reject,pending,Withdrawn after official concerns about fabricated and unverifiable sources; unsuitable as substantive evidence.
candidate-BATCH-2026-011-054,https://www.dcdt.gov.za/sa-national-ai-policy-framework/file/338-sa-national-ai-policy-framework.html,Department of Communications and Digital Technologies,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,Locally grounded precursor framework; status and relation to the withdrawn 2026 draft need policy-history review.
candidate-BATCH-2026-011-055,https://ai.gov.ae/wp-content/uploads/2024/10/UAE-Guiding-on-ai-policy-EN-V3.pdf,UAE Artificial Intelligence Office,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,Primary national policy position; direct governed-agent identity content is not verified.
candidate-BATCH-2026-011-056,https://ai.gov.ae/wp-content/uploads/2024/07/UAEAI-Methaq-EN2-3.pdf,UAE Artificial Intelligence Office,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,Local principles on human oversight and accountability; agent specificity is not established.
candidate-BATCH-2026-011-057,https://sdaia.gov.sa/en/SDAIA/about/Pages/RegulationsAndPolicies.aspx,Saudi Data and Artificial Intelligence Authority,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,Primary local regulatory resource; exact edition identity and agent-specific content require review.
candidate-BATCH-2026-011-058,https://sdaia.gov.sa/en/MediaCenter/KnowledgeCenter/Pages/SDAIAPublications.aspx,Saudi Data and Artificial Intelligence Authority,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,"Local executive guidance, but item-level canonical download and agent relevance need identity review."
candidate-BATCH-2026-011-059,https://www.gov.il/BlobFolder/policy/ai_2023/en/Israels%20AI%20Policy%202023.pdf,"Israel Ministry of Innovation, Science and Technology",official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,Official English summary of a Hebrew policy; agent-specific legal analysis is unverified.
candidate-BATCH-2026-011-060,https://www.risa.gov.rw/publications/policies,Rwanda Information Society Authority,official_publisher_page_machine_checked_human_review_pending,duplicate_route,reject,pending,Duplicate discovery route to the Rwanda policy; retain the ministry canonical page instead.
