"candidate_id","original_language","original_title","transliterated_title","english_title_translation","translation_source","machine_translation_status","human_language_review_status","translated_title_status","translated_summary_status","quotation_verification_status","quotation_restrictions","summary_confidence","native_language_review_needed","independent_decision"
"candidate-BATCH-2026-011-022","lang-ja","AIエージェント利活用に伴うリスクへの対応","AI ejento rikatsuyo ni tomonau risuku e no taio","Response to risks associated with the use of AI agents","OpenAI Codex metadata translation from official title and search extract","machine_assisted_unverified","pending","staging_only_unverified","not_created","prohibited_until_human_verified","Do not quote or publish translated wording until native-language human verification.","metadata_level_moderate","true","hold_for_identity_review"
"candidate-BATCH-2026-011-023","lang-ja","AI事業者ガイドライン（第1.01版）","AI jigyosha gaidorain dai 1.01 han","AI Guidelines for Business, version 1.01","OpenAI Codex metadata translation from official title and search extract","machine_assisted_unverified","pending","staging_only_unverified","not_created","prohibited_until_human_verified","Do not quote or publish translated wording until native-language human verification.","metadata_level_moderate","true","hold_for_translation_review"
"candidate-BATCH-2026-011-024","lang-ja","AIセキュリティ短信","AI sekyuriti tanshin","AI Security Bulletin","OpenAI Codex metadata translation from official title and search extract","machine_assisted_unverified","pending","staging_only_unverified","not_created","prohibited_until_human_verified","Do not quote or publish translated wording until native-language human verification.","metadata_level_moderate","true","hold_for_identity_review"
"candidate-BATCH-2026-011-025","lang-ja","AIセーフティに関する評価観点ガイド","AI sefuti ni kansuru hyoka kanten gaido","Guide to Evaluation Perspectives on AI Safety","OpenAI Codex metadata translation from official title and search extract","machine_assisted_unverified","pending","staging_only_unverified","not_created","prohibited_until_human_verified","Do not quote or publish translated wording until native-language human verification.","metadata_level_moderate","true","hold_for_identity_review"
"candidate-BATCH-2026-011-026","lang-ko","AI 에이전트 안전·신뢰성 검증 체계 지원","AI eijeonteu anjeon silloe-seong geomjeung chegye jiwon","Support for an AI-agent safety and reliability verification system","OpenAI Codex metadata translation from official title and search extract","machine_assisted_unverified","pending","staging_only_unverified","not_created","prohibited_until_human_verified","Do not quote or publish translated wording until native-language human verification.","metadata_level_moderate","true","hold_for_translation_review"
"candidate-BATCH-2026-011-029","lang-zh-hans","《人工智能安全治理框架》2.0版发布","Rengong zhineng anquan zhili kuangjia 2.0 ban fabu","Artificial Intelligence Safety Governance Framework 2.0 released","OpenAI Codex metadata translation from official title and search extract","machine_assisted_unverified","pending","staging_only_unverified","not_created","prohibited_until_human_verified","Do not quote or publish translated wording until native-language human verification.","metadata_level_moderate","true","approve_with_corrections_for_human_review"
"candidate-BATCH-2026-011-030","lang-zh-hant","人工智慧基本法","Rengong zhihui jiben fa","Artificial Intelligence Basic Act","OpenAI Codex metadata translation from official title and search extract","machine_assisted_unverified","pending","staging_only_unverified","not_created","prohibited_until_human_verified","Do not quote or publish translated wording until native-language human verification.","metadata_level_moderate","true","hold_for_translation_review"
"candidate-BATCH-2026-011-032","lang-th","แนวทางการประยุกต์ใช้ปัญญาประดิษฐ์อย่างมีธรรมาภิบาลสำหรับผู้บริหารองค์กร","Naeothang kan prayuk chai panya pradit yang mi thamma phiban samrap phuborihan ongkon","AI Governance Guideline for Executives","OpenAI Codex metadata translation from official title and search extract","machine_assisted_unverified","pending","staging_only_unverified","not_created","prohibited_until_human_verified","Do not quote or publish translated wording until native-language human verification.","metadata_level_moderate","true","hold_for_translation_review"
"candidate-BATCH-2026-011-033","lang-th","แนวทางการประยุกต์ใช้ Generative AI อย่างมีธรรมาภิบาลสำหรับองค์กร","Naeothang kan prayuk chai Generative AI yang mi thamma phiban samrap ongkon","Generative AI Governance Guideline for Organizations","OpenAI Codex metadata translation from official title and search extract","machine_assisted_unverified","pending","staging_only_unverified","not_created","prohibited_until_human_verified","Do not quote or publish translated wording until native-language human verification.","metadata_level_moderate","true","hold_for_translation_review"
"candidate-BATCH-2026-011-034","lang-id","Bangun Tata Kelola AI yang Etis dan Bertanggung Jawab, Pemerintah Rampungkan Pembahasan RPerpres","Bangun Tata Kelola AI yang Etis dan Bertanggung Jawab, Pemerintah Rampungkan Pembahasan RPerpres","Building ethical and responsible AI governance: government completes deliberation of draft presidential regulation","OpenAI Codex metadata translation from official title and search extract","machine_assisted_unverified","pending","staging_only_unverified","not_created","prohibited_until_human_verified","Do not quote or publish translated wording until native-language human verification.","metadata_level_moderate","true","hold_for_translation_review"
"candidate-BATCH-2026-011-039","lang-pt-br","Ataques cibernéticos autônomos com uso de agentes de inteligência artificial","Ataques ciberneticos autonomos com uso de agentes de inteligencia artificial","Autonomous cyberattacks using artificial-intelligence agents","OpenAI Codex metadata translation from official title and search extract","machine_assisted_unverified","pending","staging_only_unverified","not_created","prohibited_until_human_verified","Do not quote or publish translated wording until native-language human verification.","metadata_level_moderate","true","hold_for_identity_review"
"candidate-BATCH-2026-011-040","lang-pt-br","Projeto de Lei propõe Sistema Nacional para Desenvolvimento, Regulação e Governança de Inteligência Artificial","Projeto de Lei propoe Sistema Nacional para Desenvolvimento, Regulacao e Governanca de Inteligencia Artificial","Bill proposes a National System for AI Development, Regulation and Governance","OpenAI Codex metadata translation from official title and search extract","machine_assisted_unverified","pending","staging_only_unverified","not_created","prohibited_until_human_verified","Do not quote or publish translated wording until native-language human verification.","metadata_level_moderate","true","return_for_research"
"candidate-BATCH-2026-011-041","lang-pt-br","Guia IA Generativa","Guia IA Generativa","Generative AI Guide","OpenAI Codex metadata translation from official title and search extract","machine_assisted_unverified","pending","staging_only_unverified","not_created","prohibited_until_human_verified","Do not quote or publish translated wording until native-language human verification.","metadata_level_moderate","true","return_for_research"
"candidate-BATCH-2026-011-042","lang-pt-br","Matriz RACI para sistemas de IA","Matriz RACI para sistemas de IA","RACI matrix for AI systems","OpenAI Codex metadata translation from official title and search extract","machine_assisted_unverified","pending","staging_only_unverified","not_created","prohibited_until_human_verified","Do not quote or publish translated wording until native-language human verification.","metadata_level_moderate","true","return_for_research"
"candidate-BATCH-2026-011-043","lang-es","Política Nacional de Inteligencia Artificial y Plan de Acción","Politica Nacional de Inteligencia Artificial y Plan de Accion","National Artificial Intelligence Policy and Action Plan","OpenAI Codex metadata translation from official title and search extract","machine_assisted_unverified","pending","staging_only_unverified","not_created","prohibited_until_human_verified","Do not quote or publish translated wording until native-language human verification.","metadata_level_moderate","true","return_for_research"
"candidate-BATCH-2026-011-044","lang-es","Política Nacional de Inteligencia Artificial — CONPES 4144","Politica Nacional de Inteligencia Artificial — CONPES 4144","National Artificial Intelligence Policy — CONPES 4144","OpenAI Codex metadata translation from official title and search extract","machine_assisted_unverified","pending","staging_only_unverified","not_created","prohibited_until_human_verified","Do not quote or publish translated wording until native-language human verification.","metadata_level_moderate","true","return_for_research"
"candidate-BATCH-2026-011-045","lang-es","Declaración de ética y buenas prácticas para el uso y desarrollo de la inteligencia artificial","Declaracion de etica y buenas practicas para el uso y desarrollo de la inteligencia artificial","Declaration of ethics and good practices for the use and development of artificial intelligence","OpenAI Codex metadata translation from official title and search extract","machine_assisted_unverified","pending","staging_only_unverified","not_created","prohibited_until_human_verified","Do not quote or publish translated wording until native-language human verification.","metadata_level_moderate","true","return_for_research"
"candidate-BATCH-2026-011-046","lang-es","Estrategia Nacional de Inteligencia Artificial del Uruguay 2024–2030 — Eje 1 Gobernanza","Estrategia Nacional de Inteligencia Artificial del Uruguay 2024-2030 — Eje 1 Gobernanza","Uruguay National Artificial Intelligence Strategy 2024–2030 — Axis 1 Governance","OpenAI Codex metadata translation from official title and search extract","machine_assisted_unverified","pending","staging_only_unverified","not_created","prohibited_until_human_verified","Do not quote or publish translated wording until native-language human verification.","metadata_level_moderate","true","return_for_research"
