region,role,production_role_at_source_time_records,candidate_mentions,direct_candidate_mentions,severity,interpretation
Latin America and Caribbean,role-cto,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Latin America and Caribbean,role-general-counsel,0,5,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Latin America and Caribbean,role-board-director,0,7,1,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Latin America and Caribbean,role-private-equity,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Latin America and Caribbean,role-venture-capital,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Latin America and Caribbean,role-founder,0,2,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Middle East and North Africa,role-cfo,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Middle East and North Africa,role-ciso,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Middle East and North Africa,role-cmo,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Middle East and North Africa,role-cio,0,5,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Middle East and North Africa,role-cto,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Middle East and North Africa,role-general-counsel,0,4,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Middle East and North Africa,role-board-director,0,5,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Middle East and North Africa,role-private-equity,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Middle East and North Africa,role-venture-capital,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Middle East and North Africa,role-founder,0,1,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
North America,role-cfo,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
North America,role-ciso,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
North America,role-cmo,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
North America,role-cio,0,2,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
North America,role-cto,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
North America,role-general-counsel,0,2,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
North America,role-board-director,0,2,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
North America,role-private-equity,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
North America,role-venture-capital,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
North America,role-founder,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Oceania,role-cfo,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Oceania,role-ciso,0,3,2,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Oceania,role-cmo,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Oceania,role-cio,0,4,3,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Oceania,role-cto,0,1,1,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Oceania,role-general-counsel,0,1,1,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Oceania,role-board-director,0,2,1,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Oceania,role-private-equity,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Oceania,role-venture-capital,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Oceania,role-founder,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
