"candidate_id","original_batch_decision","independent_decision","priority","required_human_decisions","canonical_url","original_language","translation_review_required","blocking_issue"
"candidate-BATCH-2026-011-011","hold","hold_for_translation_review","medium","Resolve the named hold, then make a final accept/return/reject decision.","https://www.agid.gov.it/it/ambiti-intervento/intelligenza-artificiale","lang-it","true","Italian AI portal is a hub, not a direct agentic work; native-language review is required before relevance can be resolved."
"candidate-BATCH-2026-011-012","hold","hold_for_identity_review","medium","Resolve the named hold, then make a final accept/return/reject decision.","https://www.agid.gov.it/it/notizie/pubblicato-il-documento-completo-della-strategia-italiana-per-lintelligenza-artificiale-2024-2026","lang-it","true","The URL is an announcement page while the candidate names the strategy itself; canonical work and exact authorship need reconciliation."
"candidate-BATCH-2026-011-013","hold","hold_for_translation_review","medium","Resolve the named hold, then make a final accept/return/reject decision.","https://digst.dk/tilsyn/ai-forordningen/reglerne-i-ai-forordningen/","lang-da","true","Danish AI Act rules page is general and needs a native-language locator review for any agentic-specific material."
"candidate-BATCH-2026-011-014","hold","return_for_research","low","Decide whether to commission a narrower research batch or reject.","https://www.autoriteitpersoonsgegevens.nl/en/system/files?file=2025-09%2FReport+AI+%26+Algorithms+Netherlands+-+fifth+edition+RAN+July+2025.pdf","lang-en","false","Netherlands report is general AI/algorithms evidence and lacks an agentic-specific locator."
"candidate-BATCH-2026-011-015","hold","hold_for_translation_review","medium","Resolve the named hold, then make a final accept/return/reject decision.","https://www.bsi.bund.de/SharedDocs/Downloads/DE/BSI/KI/Whitepaper-Transparenz-KI-Systeme.pdf?__blob=publicationFile&v=3","lang-de","true","German transparency paper is adjacent; native-language review and an agentic-specific locator are required."
"candidate-BATCH-2026-011-016","accept","approve_with_corrections_for_human_review","high","Confirm corrected identity, access basis, authorship, topic scope, and final accept/hold/reject; obtain native-language review where flagged.","https://revista.aepd.es/revistaprivacidad/article/view/10","lang-es","true","Journal article, author Aurea Rodriguez Lopez, issue, and publication date verified; correct author attribution and remove false study geography."
"candidate-BATCH-2026-011-017","hold","approve_with_corrections_for_human_review","high","Confirm corrected identity, access basis, authorship, topic scope, and final accept/hold/reject; obtain native-language review where flagged.","https://cnil.fr/fr/definition/ia-agentique","lang-fr","true","Official CNIL definition page is a usable terminology candidate, but not empirical evidence; keep that limitation explicit."
"candidate-BATCH-2026-011-018","accept","approve_with_corrections_for_human_review","high","Confirm corrected identity, access basis, authorship, topic scope, and final accept/hold/reject; obtain native-language review where flagged.","https://www.csa.gov.sg/resources/publications/securing-agentic-ai-a-discussion-paper/","lang-en","false","Official CSA/FAR.AI discussion-paper page, co-authorship, and date verified; remove false study geography."
"candidate-BATCH-2026-011-019","accept","approve_with_corrections_for_human_review","high","Confirm corrected identity, access basis, authorship, topic scope, and final accept/hold/reject; obtain native-language review where flagged.","https://www.csa.gov.sg/resources/publications/addendum-on-securing-ai-systems/","lang-en","false","Final CSA publication page exists; replace the 2025 consultation press release and date with the final 17 June 2026 publication."
"candidate-BATCH-2026-011-020","accept","approve_with_corrections_for_human_review","high","Confirm corrected identity, access basis, authorship, topic scope, and final accept/hold/reject; obtain native-language review where flagged.","https://www.mddi.gov.sg/newsroom/mddi-s-response-to-pq-on-ensuring-meaningful-human-accountability-for-public-facing-autonomous-ai-agents-and-pathways-to-mandatory-governance-in-high-risk-sectors/","lang-en","false","Official Singapore parliamentary written answer and date verified; correct source type and preserve its limited evidentiary character."
"candidate-BATCH-2026-011-021","accept","hold_for_identity_review","medium","Resolve the named hold, then make a final accept/return/reject decision.","https://www.ipa.go.jp/jinzai/mitou/advanced/2026first/gaiyou-sd-1.html","lang-ja","true","The locator is an IPA project profile while the candidate names only the project; page author, project proposer, and work identity must be separated."
"candidate-BATCH-2026-011-022","accept","hold_for_identity_review","medium","Resolve the named hold, then make a final accept/return/reject decision.","https://www.meti.go.jp/press/2026/04/20260403003/20260403003-b.pdf","lang-ja","true","Candidate title is a slide heading inside a METI meeting deck, not the document title; exact deck and slide locator are required."
"candidate-BATCH-2026-011-023","hold","hold_for_translation_review","medium","Resolve the named hold, then make a final accept/return/reject decision.","https://www.meti.go.jp/shingikai/mono_info_service/ai_shakai_jisso/pdf/20250328_6.pdf","lang-ja","true","Japanese guidance deck is adjacent and automation access was blocked; native-language and exact-locator review are required."
"candidate-BATCH-2026-011-024","accept","hold_for_identity_review","medium","Resolve the named hold, then make a final accept/return/reject decision.","https://www.ipa.go.jp/digital/ai/security/ai-security-bulletin.html","lang-ja","true","The locator is a rolling IPA bulletin-series hub; select and identify a specific issue and locator before use."
"candidate-BATCH-2026-011-025","hold","hold_for_identity_review","medium","Resolve the named hold, then make a final accept/return/reject decision.","https://www.ipa.go.jp/pressrelease/2024/press20240918-2.html","lang-ja","true","The locator is an IPA press release while the candidate names the underlying evaluation guide; link the actual guide and verify version."
"candidate-BATCH-2026-011-026","hold","hold_for_translation_review","medium","Resolve the named hold, then make a final accept/return/reject decision.","https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?bcIdx=29495&cbIdx=78336&parentSeq=29495","lang-ko","true","Korean item requires native-language verification of title, authorship, and direct agentic scope."
"candidate-BATCH-2026-011-027","accept","approve_with_corrections_for_human_review","high","Confirm corrected identity, access basis, authorship, topic scope, and final accept/hold/reject; obtain native-language review where flagged.","https://www.pcpd.org.hk/english/news_events/media_statements/press_20260519.html","lang-en","false","Official Hong Kong PCPD compliance-check summary, date, 60-organization scope, and sector coverage verified; classify as a compliance-check summary, not a research report."
"candidate-BATCH-2026-011-028","hold","hold_for_identity_review","medium","Resolve the named hold, then make a final accept/return/reject decision.","https://www.pcpd.org.hk/english/news_events/media_statements/press_20240611.html","lang-en","false","The URL is a press release while the candidate names the framework; canonical framework locator and version are required."
"candidate-BATCH-2026-011-029","accept","approve_with_corrections_for_human_review","high","Confirm corrected identity, access basis, authorship, topic scope, and final accept/hold/reject; obtain native-language review where flagged.","https://www.cac.gov.cn/2025-09/15/c_1759653448369123.htm?type=h5","lang-zh-hans","true","Official CAC release page, date, and attached framework verified; distinguish the release announcement from the 32 MB attached framework and require native-language review."
"candidate-BATCH-2026-011-030","hold","hold_for_translation_review","medium","Resolve the named hold, then make a final accept/return/reject decision.","https://law.nstc.gov.tw/LawContent.aspx?id=GL000592&kw=D+%25u5c08&media=print","lang-zh-hant","true","Taiwan statute is general AI law; native-language and agentic-scope review are required."
"candidate-BATCH-2026-011-031","hold","hold_for_identity_review","medium","Resolve the named hold, then make a final accept/return/reject decision.","https://www.pcpd.org.hk/english/news_events/media_statements/press_20240221.html","lang-en","false","Candidate title combines a framework with a compliance-check press release; these are separate works and must be split."
"candidate-BATCH-2026-011-032","hold","hold_for_translation_review","medium","Resolve the named hold, then make a final accept/return/reject decision.","https://www.etda.or.th/getattachment/Our-Service/AIGC/Research-and-Recommendation/Thailand%E2%80%99s-AI-Governance-Guideline-for-Executive_2023.pdf.aspx?lang=th-TH","lang-th","true","Thai executive guidance is general AI governance and needs native-language relevance review."
"candidate-BATCH-2026-011-033","hold","hold_for_translation_review","medium","Resolve the named hold, then make a final accept/return/reject decision.","https://www.etda.or.th/getattachment/6050a4b7-defd-4dba-8cbc-ff6a444a3d08/20240910_GenerativeAIGovernanceGuideline_Vol1_AIGC.pdf.aspx","lang-th","true","Thai generative-AI guidance is adjacent and needs native-language relevance review."
"candidate-BATCH-2026-011-034","hold","hold_for_translation_review","medium","Resolve the named hold, then make a final accept/return/reject decision.","https://jdih.komdigi.go.id/berita/view/116","lang-id","true","Indonesian URL exposes a generic news title; exact work identity, title, and agentic scope require native-language review."
"candidate-BATCH-2026-011-035","hold","return_for_research","low","Decide whether to commission a narrower research batch or reject.","https://www.digital.govt.nz/assets/Standards-guidance/Technology-and-architecture/AI/Responsible-AI-Guidance-for-the-Public-Service-GenAI-Print.pdf","lang-en","false","New Zealand public-service GenAI guidance is adjacent and lacks an agentic-specific locator."
"candidate-BATCH-2026-011-036","accept","hold_for_identity_review","medium","Resolve the named hold, then make a final accept/return/reject decision.","https://www.digital.gov.au/policy/ai/agentic-ai-addendum-statements-whole-ai-lifecycle","lang-en","false","This is one section of the Australian Agentic AI addendum already represented by another section in BATCH-2026-001; model one canonical work with section locators."
"candidate-BATCH-2026-011-037","hold","reject","low","Confirm rejection and duplicate/out-of-scope rationale.","https://www.digital.gov.au/policy/ai/agentic-ai-addendum-introduction","lang-en","false","Duplicate component of the same Australian Agentic AI addendum intellectual work; retain as a locator, not a separate source candidate."
"candidate-BATCH-2026-011-038","hold","reject","low","Confirm rejection and duplicate/out-of-scope rationale.","https://www.dta.gov.au/articles/trustworthy-ai-agents-new-technical-guidance","lang-en","false","Announcement of the same Australian Agentic AI addendum; redundant as a separate evidence work after canonicalization."
"candidate-BATCH-2026-011-039","accept","hold_for_identity_review","medium","Resolve the named hold, then make a final accept/return/reject decision.","https://www.gov.br/abin/pt-br/sem-logo-de-gov_abin_desafios_2026.pdf","lang-pt-br","true","Candidate names a subsection inside the ABIN 2026 report; canonical URL is unstable and exact section author/page locator was not verified."
"candidate-BATCH-2026-011-040","hold","return_for_research","low","Decide whether to commission a narrower research batch or reject.","https://www.gov.br/gestao/pt-br/assuntos/noticias/2025/dezembro/pl-do-governo-propoe-sistema-de-governanca-para-a-inteligencia-artificial-no-pais","lang-pt-br","true","Brazilian AI bill announcement is general policy and lacks direct agentic scope."
"candidate-BATCH-2026-011-041","hold","return_for_research","low","Decide whether to commission a narrower research batch or reject.","https://www.gov.br/governodigital/pt-br/infraestrutura-nacional-de-dados/inteligencia-artificial-1/publicacoes/guia-ia-generativa","lang-pt-br","true","Brazilian generative-AI guide is adjacent rather than direct."
"candidate-BATCH-2026-011-042","hold","return_for_research","low","Decide whether to commission a narrower research batch or reject.","https://www.gov.br/governodigital/pt-br/infraestrutura-nacional-de-dados/inteligencia-artificial-1/publicacoes/matriz-raci","lang-pt-br","true","RACI matrix is general AI governance and lacks direct agentic scope."
"candidate-BATCH-2026-011-043","hold","return_for_research","low","Decide whether to commission a narrower research batch or reject.","https://www.minciencia.gob.cl/areas/inteligencia-artificial/Inteligencia-Artificial/politica-Nacional-Inteligencia-Artificial-Plan-Accion/","lang-es","true","Chile national AI policy hub is general and the candidate title does not match the observed page title."
"candidate-BATCH-2026-011-044","hold","return_for_research","low","Decide whether to commission a narrower research batch or reject.","https://www.dnp.gov.co/Prensa_/Noticias/Paginas/nuevo-logro-para-el-pais-con-aprobacion-politica-nacional-inteligencia-artificial-ia.aspx","lang-es","true","Colombia policy announcement is general AI policy, not direct agentic evidence."
"candidate-BATCH-2026-011-045","hold","return_for_research","low","Decide whether to commission a narrower research batch or reject.","https://www.gob.mx/atdt/comunicacion/declaracion-de-etica-y-buenas-practicas-para-el-uso-y-desarrollo-de-la-ia-en-mexico-secihti-y-atdt","lang-es","true","Mexico ethics declaration is general AI policy; observed page title does not establish the named work identity."
"candidate-BATCH-2026-011-046","hold","return_for_research","low","Decide whether to commission a narrower research batch or reject.","https://www.gub.uy/agencia-gobierno-electronico-sociedad-informacion-conocimiento/comunicacion/publicaciones/estrategia-nacional-inteligencia-artificial-del-uruguay-2024-2030/ejes","lang-es","true","Uruguay governance axis is general AI strategy material and lacks direct agentic scope."
"candidate-BATCH-2026-011-047","hold","return_for_research","low","Decide whether to commission a narrower research batch or reject.","https://www.tbs-sct.canada.ca/pol/doc-eng.aspx?id=32592","lang-en","false","Canada automated-decision directive is adjacent and not direct agentic evidence."
"candidate-BATCH-2026-011-048","hold","return_for_research","low","Decide whether to commission a narrower research batch or reject.","https://www.canada.ca/en/government/system/digital-government/digital-government-innovations/responsible-use-ai/algorithmic-impact-assessment.html","lang-en","false","Canada Algorithmic Impact Assessment tool is adjacent and not direct agentic evidence."
"candidate-BATCH-2026-011-049","hold","return_for_research","low","Decide whether to commission a narrower research batch or reject.","https://www.au.int/en/documents/20240809/continental-artificial-intelligence-strategy","lang-en","false","African Union continental strategy is general AI policy and lacks direct agentic scope."
"candidate-BATCH-2026-011-050","hold","return_for_research","low","Decide whether to commission a narrower research batch or reject.","https://www.minict.gov.rw/ai-policy","lang-en","false","Rwanda AI policy is general and lacks direct agentic scope."
"candidate-BATCH-2026-011-051","hold","hold_for_identity_review","medium","Resolve the named hold, then make a final accept/return/reject decision.","https://www.ict.go.ke/node/641","lang-en","false","Kenya locator failed automated access and the candidate work identity could not be verified from the supplied URL."
"candidate-BATCH-2026-011-052","hold","return_for_research","low","Decide whether to commission a narrower research batch or reject.","https://ncair.nitda.gov.ng/wp-content/uploads/2025/09/National-Artificial-Intelligence-Strategy-19092025.pdf","lang-en","false","Nigeria strategy is general AI policy and lacks direct agentic scope."
"candidate-BATCH-2026-011-053","reject","reject","low","Confirm rejection and duplicate/out-of-scope rationale.","https://www.gov.za/sites/default/files/gcis_document/202604/54477gen3880.pdf","lang-en","false","Draft policy is outside the direct agentic topic and was already correctly rejected by the discovery batch."
"candidate-BATCH-2026-011-054","hold","hold_for_identity_review","medium","Resolve the named hold, then make a final accept/return/reject decision.","https://www.dcdt.gov.za/sa-national-ai-policy-framework/file/338-sa-national-ai-policy-framework.html","lang-en","false","South Africa framework URL failed access; canonical work identity and version remain unresolved."
"candidate-BATCH-2026-011-055","hold","return_for_research","low","Decide whether to commission a narrower research batch or reject.","https://ai.gov.ae/wp-content/uploads/2024/10/UAE-Guiding-on-ai-policy-EN-V3.pdf","lang-en","false","UAE policy position is general AI policy; automated access was blocked and no direct agentic locator was supplied."
"candidate-BATCH-2026-011-056","hold","return_for_research","low","Decide whether to commission a narrower research batch or reject.","https://ai.gov.ae/wp-content/uploads/2024/07/UAEAI-Methaq-EN2-3.pdf","lang-en","false","UAE charter is general AI policy; automated access was blocked and no direct agentic locator was supplied."
"candidate-BATCH-2026-011-057","hold","hold_for_identity_review","medium","Resolve the named hold, then make a final accept/return/reject decision.","https://sdaia.gov.sa/en/SDAIA/about/Pages/RegulationsAndPolicies.aspx","lang-en","false","Saudi URL is a laws-and-regulations hub, not the named Principles of AI Ethics work."
"candidate-BATCH-2026-011-058","hold","hold_for_identity_review","medium","Resolve the named hold, then make a final accept/return/reject decision.","https://sdaia.gov.sa/en/MediaCenter/KnowledgeCenter/Pages/SDAIAPublications.aspx","lang-en","false","Saudi URL is a publications hub, not the named executive guide."
"candidate-BATCH-2026-011-059","hold","return_for_research","low","Decide whether to commission a narrower research batch or reject.","https://www.gov.il/BlobFolder/policy/ai_2023/en/Israels%20AI%20Policy%202023.pdf","lang-en","false","Israel policy is general AI regulation and lacks direct agentic scope."
"candidate-BATCH-2026-011-060","reject","reject","low","Confirm rejection and duplicate/out-of-scope rationale.","https://www.risa.gov.rw/publications/policies","lang-en","false","Rwanda policies hub does not establish the named work identity and the original batch correctly rejected it."
